booth_id,x,y,created_at,updated_at
B5104,0.70406,0.394604,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5105,0.718275,0.394604,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5106,0.718275,0.381549,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5107,0.70406,0.381549,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5109,0.675681,0.381549,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5110,0.661332,0.381549,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5201,0.668477,0.355475,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5203,0.689904,0.355475,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5204,0.70406,0.355475,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5205,0.718275,0.355475,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5206,0.718275,0.342435,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5207,0.70406,0.342435,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5208,0.689904,0.342435,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5209,0.668477,0.342435,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5301,0.661332,0.316408,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5302,0.675681,0.316408,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B5303,0.689904,0.316408,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B5304,0.711201,0.316408,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B5306,0.711201,0.303367,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B5308,0.689904,0.303367,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
